id,text,type
1,"Io sono finita dalla psicologa. Siciliana, mi trasferisco in Emilia ma perdo il lavoro. Per ora posso permettermi di stare in casa. Credo di essere il male ai loro occhi, la cosa mi è stata fatta notare più volte. Alla fine ho raggiunto, con l'aiuto della psico, il nirvana dello sticazzi.
Ho sempre odiato il non essere qualificata come persona ma come insieme di competenze. Lo stesso lavoro, a mio avviso, è fattibile in modi diversi da persone diverse. Dopo la fabbrica sto tornando all'insegnamento.",1
2,"Odio il lavoro perché è sfruttamento normalizzato e/o legalizzato. 
Da anni lavoro stagionalmente  in uno stabilimento balneare/ristorante a conduzione famigliare, con contratto e buste paga fittizie, le 10 ore di lavoro al giorno per tutti i giorni della settimana si trasformano in un rapporto di lavoro intermittente con al massimo 10 ore a settimana segnate in busta paga, tutto il resto a nero. Avrei molto altro da aggiungere sulle condizioni lavorative ma già questo rende l’idea.  Però devo ritenermi fortunata perché almeno ho un contratto e c’è comunque di peggio, in più quando sono a lavoro posso consumare quello che voglio senza dover pagare.  
Odio il lavoro perché la narrazione del “siamo come una famiglia qui” è una forma di ricatto e mi impedisce di odiare apertamente i miei datori di lavoro.",1
3,"Tutte le mattine che mi sveglio per andare a lavoro vorrei licenziarmi, da almeno un anno.",2
4,Sono costretta a lavorare sabato e domenica. Ho gli attacchi di panico prima di attaccare in turno e piango in continuazione. Mi fa schifo tutto del mio lavoro. Tutto. L'unico motivo per cui non ho ancora avuto il coraggio di lasciarlo è che nessuno paga lo stesso stipendio per le ore che faccio con il contratto del commercio.,1
5,"Perché odio il mio lavoro? Se non avessi il problema di dover guadagnare abbastanza per sostenere le spese di tutti i giorni farei tutt'altro nella vita, o almeno un part time che mi consentisse di coltivare mie vere passioni.",1
6,"Lavoro da quasi 10 anni nello stesso posto full time, 40 ore settimanali e sempre più responsabilità. Ovviamente stipendio minimo, contratto in cooperativa (ne ho cambiate 3 in questi anni)a tempo determinato a 20 ore settimanali e quando questo mese dopo l'ennesimo rinnovo ho chiesto di cambiare a 40 ore settimanali mi sono sentita rispondere : ""ma che ti cambia?"" E sono la più fortunata qui, i miei colleghi lavorano circa 60 ore settimanali, stipendio più basso del mio e vengono pure trattati dai capi come se gli stessero facendo un favore a farli lavorare. Veniamo tutti trattati così. Ti vogliono convincere che lavorare sia diventato un privilegio per pochi  non più un diritto di tutti.",1
7,"Sono specializzando in medicina d'urgenza, quindi lavoro spesso in PS. La filosofia diffusa è che il grado di stress non ha un vero tetto massimo, tutto è concesso: turni massacranti, scarse risorse, troppi pazienti per pochi medici. Questo in un qualsiasi altro settore farebbe smuovere un po' i lavoratori, mentre qua siamo chiusi nella politica del ""è sempre stato così"" e quindi dobbiamo accettare sia di avere un lavoro difficile (oltre a quanto sia già impegnativo di base) che rovina anche la nostra vita extra lavorativa. 
Aggiungici che siamo considerati ""privilegiati"" quindi ogni pretesa è vista come capriccio.
Io faccio questo lavoro perché mi piace ma trovo sempre più difficile difendere la mia identità di persona extra lavoro. E questo quando ancora nemmeno sono specialista.
Questo anno le borse di specializzazione per questo settore sono andate per la metà vuote. I motivi sono in parte dentro quello che ti ho già esposto. 
Insomma secondo la narrazione generale sono privilegiato, ho scelto una vita che non può che essere devastante per me e chi è parte della mia famiglia e avere turni stremanti è una medaglia da portare orgoglioso perché denota che ci tengo.",1
8,"Ho passato anni a respirare veleno per far ricche le multinazionali. Ora sono un libero professionista e ho seguito la mia passione. Faccio quello che per me è il lavoro più bello del mondo. 
Ma il passaggio è stato devastante, la critica collettiva mi dava del pazzo, e ci si finiva per crederci. Bisogna avere coraggio di rischiare. Per forza. Altrimenti si muore dentro",1
9,"Odio il mio lavoro. Ho 25 anni e lavoro in [CENSURED] come operaio di manutenzione treni. Ho un contratto a tempo indeterminato, lavoro su tre turni con uno stipendio di 1400-1500 euro al mese puntuale ogni 27 del mese. Una stabilità non indifferente per la mia età.
Tutto questo, questa stabilità quasi surreale per chi della mia generazione, in realtà mi mette tanta angoscia, ed è questa stabilità che non mi permette di lasciare il lavoro, che mi rende difficile provare a fare questa scelta. Non sono felice di avere un contratto di lavoro a tempo indeterminato in questo posto. Io soffro molto qui.

Ho iniziato a lavorare a vent’anni, lavoravo in un'azienda che mi faceva fare anche 9 notti di fila, ero completamente in balia dei miei genitori, per loro è normale fare ciò che dice il padrone in fabbrica. Entrambi hanno lavorato come operai in fabbrica, mio padre per più di quarant’anni, mentre mia madre per vent’anni.
Quando è arrivato il contratto in [CENSURED], tre anni fa, sembrava l’evento della vita, figuriamoci per i miei genitori che mi hanno spinto solo e da sempre ad ottenere quello.
Eppure proprio in [CENSURED] sono iniziati i miei primi disagi, i miei primi sentimenti anti lavoristi, inizialmente legato alla tipologia di lavoro  che proprio non mi piaceva. Per rimediare ho iniziato a studiare storia all'università, per fare una cosa che davvero potesse piacermi e per compensare il vuoto che il lavoro mi dava. Devo ancora finire la triennale, se tutto va bene dovrei finire a luglio di prossimo anno. Ma quest'anno è stato difficile.
È stato difficile perché quel sentimento generico di anti lavoro, generato forse anche dalla mia curiosità del mondo della xenoleft e sicuramente per un lavoro manuale non di mio gradimento, si è trasformato in un sentimento molto più personale e difficile.

Ad inizio 2021 ho dovuto fare i conti con una riattivazione di un trauma infantile, legato a degli abusi sessuali subiti durante la mia infanzia e preadolescenza da un amico di famiglia. Non affrontare il problema, per via dello stigma e tabù negli anni mi ha portato ad un incredibile paura di espormi, e alla soglia di 25 anni ho dovuto da solo sbrogliarmi di dosso molte cose.
Tutto questo è anche correlato alla mia condizione di profondo malessere a lavoro. 
Il mio non espormi ha condizionato gran parte delle mie scelte nella vita.
Ora mi ritrovo qui, nella speranza di poter riuscire a finire la triennale come unica speranza per poter scappare. Mi ritrovo ogni giorno a dover avere tanta ansia ad andare a lavoro, a dover sopportare l’ambiente tossico all’interno dell’officina, fatto di persone misogine, razziste ed omofobe, ed ogni parola pronunciata da loro mi pesa tantissimo essendo un ragazzo omosessuale.
Mi sento ingabbiato per avere un contratto a tempo indeterminato, questa stabilità che mi blocca ancora. ma sono consapevole che non avendo spalle coperte non posso lasciare questo lavoro prima di trovare altro. Eppure vorrei un slancio, desidero tantissimo compiere il mio atto più grande nell’espormi: prendere la decisione di lasciare un posto di lavoro che mi sta facendo tanto male.",1
10,"Odio la ripetitività,  non poter prendere parte alle decisioni perché c'è sempre qualcuno più in alto che decide, non poter regolare il carico di lavoro in base alle mie energie, essere valutata a fine anno (le valutazioni hanno la pretesa di riguardare solo l'ambito lavorativo,  ma è facilissimo scivolare nel personale).",1
